"vehicle_category_id","child_sequence","grandchild_sequence","boarding_area_id"
"B8","3","","2015136"
"B8","4","","2015136"
"B8","5","","2015136"
"B8","6","","2015136"
"B8","7","","2015136"
"B8","8","","2015136"
"B8","1","","2015137"
"B8","2","","2015137"
"B8","3","","2015137"
"B8","4","","2015137"
"B8","5","","2015137"
"B8","6","","2015137"
"B8","7","","2015137"
"B8","8","","2015137"
"B8","1","","2015138"
"B8","2","","2015138"
"B8","3","","2015138"
"B8","4","","2015138"
"B8","5","","2015138"
"B8","6","","2015138"
"B8","7","","2015138"
"B8","8","","2015138"
"B8","1","","2015139"
"B8","2","","2015139"
"B8","3","","2015139"
"B8","4","","2015139"
"B8","5","","2015139"
"B8","6","","2015139"
"B8","7","","2015139"
"B8","8","","2015139"
"B8","1","","2015140"
"B8","2","","2015140"
"B8","3","","2015140"
"B8","4","","2015140"
"B8","5","","2015140"
"B8","6","","2015140"
"B8","7","","2015140"
"B8","8","","2015140"
"B8","1","","204471"
"B8","2","","204471"
"B8","3","","204471"
"B8","4","","204471"
"B8","5","","204471"
"B8","6","","204471"
"B8","7","","204471"
"B8","8","","204471"
"B8","1","","204472"
"B8","2","","204472"
"B8","3","","204472"
"B8","4","","204472"
"B8","5","","204472"
"B8","6","","204472"
"B8","7","","204472"
"B8","8","","204472"
"B8","1","","204473"
"B8","2","","204473"
"B8","3","","204473"
"B8","4","","204473"
"B8","5","","204473"
"B8","6","","204473"
"B8","7","","204473"
"B8","8","","204473"
"B8","1","","204474"
"B8","2","","204474"
"B8","3","","204474"
"B8","4","","204474"
"B8","5","","204474"
"B8","6","","204474"
"B8","7","","204474"
"B8","8","","204474"
"B8","1","","2135237"
"B8","2","","2135237"
"B8","3","","2135237"
"B8","4","","2135237"
"B8","5","","2135237"
"B8","6","","2135237"
"B8","7","","2135237"
"B8","8","","2135237"
"B8","1","","2135238"
"B8","2","","2135238"
"B8","3","","2135238"
"B8","4","","2135238"
"B8","5","","2135238"
"B8","6","","2135238"
"B8","7","","2135238"
"B8","8","","2135238"
"B8","1","","2150413"
"B8","2","","2150413"
"B8","3","","2150413"
"B8","4","","2150413"
"B8","5","","2150413"
"B8","6","","2150413"
"B8","7","","2150413"
"B8","8","","2150413"
"B8","1","","2150414"
"B8","2","","2150414"
"B8","3","","2150414"
"B8","4","","2150414"
"B8","5","","2150414"
"B8","6","","2150414"
"B8","7","","2150414"
"B8","8","","2150414"
"B8","1","","2205111"
"B8","2","","2205111"
"B8","3","","2205111"
"B8","4","","2205111"
"B8","5","","2205111"
"B8","6","","2205111"
"B8","7","","2205111"
"B8","8","","2205111"
"B8","1","","2205112"
"B8","2","","2205112"
"B8","3","","2205112"
"B8","4","","2205112"
"B8","5","","2205112"
"B8","6","","2205112"
"B8","7","","2205112"
"B8","8","","2205112"
"B8","1","","2560692"
"B8","2","","2560692"
"B8","3","","2560692"
"B8","4","","2560692"
"B8","5","","2560692"
"B8","6","","2560692"
"B8","7","","2560692"
"B8","8","","2560692"
"B8","1","","2560693"
"B8","2","","2560693"
"B8","3","","2560693"
"B8","4","","2560693"
"B8","5","","2560693"
"B8","6","","2560693"
"B8","7","","2560693"
"B8","8","","2560693"
"B8","1","","2560711"
"B8","2","","2560711"
"B8","3","","2560711"
"B8","4","","2560711"
"B8","5","","2560711"
"B8","6","","2560711"
"B8","7","","2560711"
"B8","8","","2560711"
"B8","1","","2560712"
"B8","2","","2560712"
"B8","3","","2560712"
"B8","4","","2560712"
"B8","5","","2560712"
"B8","6","","2560712"
"B8","7","","2560712"
"B8","8","","2560712"
"B8","1","","2560713"
"B8","2","","2560713"
"B8","3","","2560713"
"B8","4","","2560713"
"B8","5","","2560713"
"B8","6","","2560713"
"B8","7","","2560713"
"B8","8","","2560713"
"C4","1","","2000337"
"C4","2","","2000337"
"C4","3","","2000337"
"C4","4","","2000337"
"C4","1","","2000339"
"C4","2","","2000339"
"C4","3","","2000339"
"C4","4","","2000339"
"C4","1","","2000340"
"C4","2","","2000340"
"C4","3","","2000340"
"C4","4","","2000340"
"C4","1","","2000341"
"C4","2","","2000341"
"C4","3","","2000341"
"C4","4","","2000341"
"C4","1","","2000342"
"C4","2","","2000342"
"C4","3","","2000342"
"C4","4","","2000342"
"C4","1","","2000343"
"C4","2","","2000343"
"C4","3","","2000343"
"C4","4","","2000343"
"C4","1","","2000391"
"C4","2","","2000391"
"C4","3","","2000391"
"C4","4","","2000391"
"C4","1","","2000396"
"C4","2","","2000396"
"C4","3","","2000396"
"C4","4","","2000396"
"C4","1","","2000405"
"C4","2","","2000405"
"C4","3","","2000405"
"C4","4","","2000405"
"C4","1","","2000406"
"C4","2","","2000406"
"C4","3","","2000406"
"C4","4","","2000406"
"C4","1","","2015135"
"C4","2","","2015135"
"C4","3","","2015135"
"C4","4","","2015135"
"C4","1","","2015136"
"C4","2","","2015136"
"C4","3","","2015136"
"C4","4","","2015136"
"C4","1","","2015137"
"C4","2","","2015137"
"C4","3","","2015137"
"C4","4","","2015137"
"C4","1","","2015138"
"C4","2","","2015138"
"C4","3","","2015138"
"C4","4","","2015138"
"C4","1","","2015139"
"C4","2","","2015139"
"C4","3","","2015139"
"C4","4","","2015139"
"C4","1","","2015140"
"C4","2","","2015140"
"C4","3","","2015140"
"C4","4","","2015140"
"C4","1","","204471"
"C4","2","","204471"
"C4","3","","204471"
"C4","4","","204471"
"C4","1","","204472"
"C4","2","","204472"
"C4","3","","204472"
"C4","4","","204472"
"C4","1","","204473"
"C4","2","","204473"
"C4","3","","204473"
"C4","4","","204473"
"C4","1","","204474"
"C4","2","","204474"
"C4","3","","204474"
"C4","4","","204474"
"C4","1","","2135237"
"C4","2","","2135237"
"C4","3","","2135237"
"C4","4","","2135237"
"C4","1","","2135238"
"C4","2","","2135238"
"C4","3","","2135238"
